Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p3m2,even,ideal,500,0.405,complex,0,0,13,87,0,351,p3,m2
AWE,p3m2,even,ideal,1000,1.5,complex,0,0,0,100,0,449,p3,m2
AWE,p3m2,even,ideal,1000,0.9,complex,0,0,0,100,0,407,p3,m2
AWE,p3m2,even,ideal,1000,0.405,complex,0,0,0,100,0,395,p3,m2
AWE,p3m2,even,ideal,5000,1.5,complex,0,0,0,85,15,496,p3,m2
AWE,p3m2,even,ideal,5000,0.9,complex,0,0,0,100,0,494,p3,m2
AWE,p3m2,even,ideal,5000,0.405,complex,0,0,0,100,0,480,p3,m2
AWE,p3m2,uneven,ideal,200,1.5,complex,19,81,0,0,0,178,p3,m2
AWE,p3m2,uneven,ideal,200,0.9,complex,20,80,0,0,0,215,p3,m2
AWE,p3m2,uneven,ideal,200,0.405,complex,24,76,0,0,0,199,p3,m2
AWE,p3m2,uneven,ideal,500,1.5,complex,0,10,83,7,0,336,p3,m2
AWE,p3m2,uneven,ideal,500,0.9,complex,0,3,71,26,0,370,p3,m2
AWE,p3m2,uneven,ideal,500,0.405,complex,0,1,60,38,0,344,p3,m2
AWE,p3m2,uneven,ideal,1000,1.5,complex,0,0,1,99,0,451,p3,m2
AWE,p3m2,uneven,ideal,1000,0.9,complex,0,0,0,100,0,438,p3,m2
AWE,p3m2,uneven,ideal,1000,0.405,complex,0,0,0,100,0,398,p3,m2
AWE,p3m2,uneven,ideal,5000,1.5,complex,0,0,0,0,100,492,p3,m2
AWE,p3m2,uneven,ideal,5000,0.9,complex,0,0,0,100,0,499,p3,m2
AWE,p3m2,uneven,ideal,5000,0.405,complex,0,0,0,100,0,486,p3,m2
BIC,p3m2,even,ideal,200,1.5,complex,0,0,15,85,0,219,p3,m2
BIC,p3m2,even,ideal,200,0.9,complex,0,0,9,91,0,223,p3,m2
BIC,p3m2,even,ideal,200,0.405,complex,0,0,6,94,0,221,p3,m2
BIC,p3m2,even,ideal,500,1.5,complex,0,0,0,100,0,337,p3,m2
BIC,p3m2,even,ideal,500,0.9,complex,0,0,0,100,0,349,p3,m2
BIC,p3m2,even,ideal,500,0.405,complex,0,0,0,100,0,351,p3,m2
BIC,p3m2,even,ideal,1000,1.5,complex,0,0,0,96,4,449,p3,m2
BIC,p3m2,even,ideal,1000,0.9,complex,0,0,0,100,0,407,p3,m2
BIC,p3m2,even,ideal,1000,0.405,complex,0,0,0,100,0,395,p3,m2
BIC,p3m2,even,ideal,5000,1.5,complex,0,0,0,0,100,496,p3,m2
BIC,p3m2,even,ideal,5000,0.9,complex,0,0,0,81,19,494,p3,m2
BIC,p3m2,even,ideal,5000,0.405,complex,0,0,0,100,0,480,p3,m2
BIC,p3m2,uneven,ideal,200,1.5,complex,0,1,42,57,0,178,p3,m2
BIC,p3m2,uneven,ideal,200,0.9,complex,0,0,30,70,0,215,p3,m2
BIC,p3m2,uneven,ideal,200,0.405,complex,0,1,17,83,0,199,p3,m2
BIC,p3m2,uneven,ideal,500,1.5,complex,0,0,0,98,2,336,p3,m2
BIC,p3m2,uneven,ideal,500,0.9,complex,0,0,0,100,0,370,p3,m2
BIC,p3m2,uneven,ideal,500,0.405,complex,0,0,0,100,0,344,p3,m2
BIC,p3m2,uneven,ideal,1000,1.5,complex,0,0,0,62,38,451,p3,m2
BIC,p3m2,uneven,ideal,1000,0.9,complex,0,0,0,100,0,438,p3,m2
BIC,p3m2,uneven,ideal,1000,0.405,complex,0,0,0,100,0,398,p3,m2
BIC,p3m2,uneven,ideal,5000,1.5,complex,0,0,0,0,100,492,p3,m2
BIC,p3m2,uneven,ideal,5000,0.9,complex,0,0,0,7,93,499,p3,m2
BIC,p3m2,uneven,ideal,5000,0.405,complex,0,0,0,100,0,486,p3,m2
CAIC,p3m2,even,ideal,200,1.5,complex,0,1,46,53,0,219,p3,m2
CAIC,p3m2,even,ideal,200,0.9,complex,0,1,29,70,0,223,p3,m2
CAIC,p3m2,even,ideal,200,0.405,complex,0,0,20,80,0,221,p3,m2
CAIC,p3m2,even,ideal,500,1.5,complex,0,0,0,100,0,337,p3,m2
CAIC,p3m2,even,ideal,500,0.9,complex,0,0,0,100,0,349,p3,m2
CAIC,p3m2,even,ideal,500,0.405,complex,0,0,0,100,0,351,p3,m2
CAIC,p3m2,even,ideal,1000,1.5,complex,0,0,0,100,0,449,p3,m2
CAIC,p3m2,even,ideal,1000,0.9,complex,0,0,0,100,0,407,p3,m2
CAIC,p3m2,even,ideal,1000,0.405,complex,0,0,0,100,0,395,p3,m2
CAIC,p3m2,even,ideal,5000,1.5,complex,0,0,0,0,100,496,p3,m2
CAIC,p3m2,even,ideal,5000,0.9,complex,0,0,0,96,4,494,p3,m2
CAIC,p3m2,even,ideal,5000,0.405,complex,0,0,0,100,0,480,p3,m2
CAIC,p3m2,uneven,ideal,200,1.5,complex,0,9,65,26,0,178,p3,m2
CAIC,p3m2,uneven,ideal,200,0.9,complex,0,5,57,38,0,215,p3,m2
CAIC,p3m2,uneven,ideal,200,0.405,complex,0,3,45,52,0,199,p3,m2
CAIC,p3m2,uneven,ideal,500,1.5,complex,0,0,1,99,0,336,p3,m2
CAIC,p3m2,uneven,ideal,500,0.9,complex,0,0,0,100,0,370,p3,m2
CAIC,p3m2,uneven,ideal,500,0.405,complex,0,0,0,100,0,344,p3,m2
CAIC,p3m2,uneven,ideal,1000,1.5,complex,0,0,0,83,17,451,p3,m2
CAIC,p3m2,uneven,ideal,1000,0.9,complex,0,0,0,100,0,438,p3,m2
CAIC,p3m2,uneven,ideal,1000,0.405,complex,0,0,0,100,0,398,p3,m2
CAIC,p3m2,uneven,ideal,5000,1.5,complex,0,0,0,0,100,492,p3,m2
CAIC,p3m2,uneven,ideal,5000,0.9,complex,0,0,0,23,77,499,p3,m2
CAIC,p3m2,uneven,ideal,5000,0.405,complex,0,0,0,100,0,486,p3,m2
VLMR,p3m2,even,ideal,200,1.5,complex,11,15,21,41,12,219,p3,m2
VLMR,p3m2,even,ideal,200,0.9,complex,13,12,13,55,7,223,p3,m2
VLMR,p3m2,even,ideal,200,0.405,complex,7,5,12,64,12,221,p3,m2
VLMR,p3m2,even,ideal,500,1.5,complex,7,5,1,63,24,337,p3,m2
VLMR,p3m2,even,ideal,500,0.9,complex,3,5,0,80,13,349,p3,m2
VLMR,p3m2,even,ideal,500,0.405,complex,2,1,0,91,6,351,p3,m2
