Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
CAIC,p3m3,uneven,ideal,200,0.9,simple,0,37,63,0,199,p3,m3
CAIC,p3m3,uneven,ideal,200,0.405,simple,0,26,74,0,183,p3,m3
CAIC,p3m3,uneven,ideal,500,1.5,simple,0,0,100,0,276,p3,m3
CAIC,p3m3,uneven,ideal,500,0.9,simple,0,0,100,0,272,p3,m3
CAIC,p3m3,uneven,ideal,500,0.405,simple,0,0,100,0,271,p3,m3
CAIC,p3m3,uneven,ideal,1000,1.5,simple,0,0,100,0,319,p3,m3
CAIC,p3m3,uneven,ideal,1000,0.9,simple,0,0,100,0,328,p3,m3
CAIC,p3m3,uneven,ideal,1000,0.405,simple,0,0,100,0,322,p3,m3
CAIC,p3m3,uneven,ideal,5000,1.5,simple,0,0,100,0,427,p3,m3
CAIC,p3m3,uneven,ideal,5000,0.9,simple,0,0,100,0,424,p3,m3
CAIC,p3m3,uneven,ideal,5000,0.405,simple,0,0,100,0,422,p3,m3
VLMR,p3m3,even,ideal,200,1.5,simple,13,26,45,16,171,p3,m3
VLMR,p3m3,even,ideal,200,0.9,simple,12,14,61,13,199,p3,m3
VLMR,p3m3,even,ideal,200,0.405,simple,10,18,52,20,182,p3,m3
VLMR,p3m3,even,ideal,500,1.5,simple,1,0,75,25,263,p3,m3
VLMR,p3m3,even,ideal,500,0.9,simple,0,0,78,21,260,p3,m3
VLMR,p3m3,even,ideal,500,0.405,simple,0,0,75,24,263,p3,m3
VLMR,p3m3,even,ideal,1000,1.5,simple,0,0,77,23,303,p3,m3
VLMR,p3m3,even,ideal,1000,0.9,simple,0,0,79,21,289,p3,m3
VLMR,p3m3,even,ideal,1000,0.405,simple,0,0,79,21,303,p3,m3
VLMR,p3m3,even,ideal,5000,1.5,simple,0,0,79,21,428,p3,m3
VLMR,p3m3,even,ideal,5000,0.9,simple,0,0,81,19,415,p3,m3
VLMR,p3m3,even,ideal,5000,0.405,simple,0,0,81,19,432,p3,m3
VLMR,p3m3,uneven,ideal,200,1.5,simple,15,28,45,12,197,p3,m3
VLMR,p3m3,uneven,ideal,200,0.9,simple,11,21,51,18,199,p3,m3
VLMR,p3m3,uneven,ideal,200,0.405,simple,17,16,46,20,183,p3,m3
VLMR,p3m3,uneven,ideal,500,1.5,simple,5,0,79,16,276,p3,m3
VLMR,p3m3,uneven,ideal,500,0.9,simple,8,1,68,23,272,p3,m3
VLMR,p3m3,uneven,ideal,500,0.405,simple,7,0,74,19,271,p3,m3
VLMR,p3m3,uneven,ideal,1000,1.5,simple,3,0,79,18,319,p3,m3
VLMR,p3m3,uneven,ideal,1000,0.9,simple,3,0,77,20,328,p3,m3
VLMR,p3m3,uneven,ideal,1000,0.405,simple,6,0,75,20,322,p3,m3
VLMR,p3m3,uneven,ideal,5000,1.5,simple,0,0,80,19,427,p3,m3
VLMR,p3m3,uneven,ideal,5000,0.9,simple,0,0,82,18,424,p3,m3
VLMR,p3m3,uneven,ideal,5000,0.405,simple,2,0,79,18,422,p3,m3
aBIC,p3m3,even,ideal,200,1.5,simple,0,0,26,74,171,p3,m3
aBIC,p3m3,even,ideal,200,0.9,simple,0,0,29,71,199,p3,m3
aBIC,p3m3,even,ideal,200,0.405,simple,0,0,36,64,182,p3,m3
aBIC,p3m3,even,ideal,500,1.5,simple,0,0,92,8,263,p3,m3
aBIC,p3m3,even,ideal,500,0.9,simple,0,0,94,6,260,p3,m3
aBIC,p3m3,even,ideal,500,0.405,simple,0,0,95,5,263,p3,m3
aBIC,p3m3,even,ideal,1000,1.5,simple,0,0,100,0,303,p3,m3
aBIC,p3m3,even,ideal,1000,0.9,simple,0,0,100,0,289,p3,m3
aBIC,p3m3,even,ideal,1000,0.405,simple,0,0,100,0,303,p3,m3
aBIC,p3m3,even,ideal,5000,1.5,simple,0,0,100,0,428,p3,m3
aBIC,p3m3,even,ideal,5000,0.9,simple,0,0,100,0,415,p3,m3
aBIC,p3m3,even,ideal,5000,0.405,simple,0,0,100,0,432,p3,m3
aBIC,p3m3,uneven,ideal,200,1.5,simple,0,0,31,69,197,p3,m3
aBIC,p3m3,uneven,ideal,200,0.9,simple,0,0,29,71,199,p3,m3
aBIC,p3m3,uneven,ideal,200,0.405,simple,0,0,29,71,183,p3,m3
aBIC,p3m3,uneven,ideal,500,1.5,simple,0,0,95,5,276,p3,m3
aBIC,p3m3,uneven,ideal,500,0.9,simple,0,0,96,4,272,p3,m3
aBIC,p3m3,uneven,ideal,500,0.405,simple,0,0,94,6,271,p3,m3
aBIC,p3m3,uneven,ideal,1000,1.5,simple,0,0,99,1,319,p3,m3
aBIC,p3m3,uneven,ideal,1000,0.9,simple,0,0,99,1,328,p3,m3
aBIC,p3m3,uneven,ideal,1000,0.405,simple,0,0,100,0,322,p3,m3
aBIC,p3m3,uneven,ideal,5000,1.5,simple,0,0,100,0,427,p3,m3
aBIC,p3m3,uneven,ideal,5000,0.9,simple,0,0,100,0,424,p3,m3
aBIC,p3m3,uneven,ideal,5000,0.405,simple,0,0,100,0,422,p3,m3
cmPk,p3m3,even,ideal,200,1.5,simple,0,13,87,0,171,p3,m3
cmPk,p3m3,even,ideal,200,0.9,simple,0,15,85,0,199,p3,m3
cmPk,p3m3,even,ideal,200,0.405,simple,0,8,92,0,182,p3,m3
cmPk,p3m3,even,ideal,500,1.5,simple,0,0,100,0,263,p3,m3
cmPk,p3m3,even,ideal,500,0.9,simple,0,0,100,0,260,p3,m3
cmPk,p3m3,even,ideal,500,0.405,simple,0,0,100,0,263,p3,m3
cmPk,p3m3,even,ideal,1000,1.5,simple,0,0,100,0,303,p3,m3
cmPk,p3m3,even,ideal,1000,0.9,simple,0,0,100,0,289,p3,m3
cmPk,p3m3,even,ideal,1000,0.405,simple,0,0,100,0,303,p3,m3
cmPk,p3m3,even,ideal,5000,1.5,simple,0,0,100,0,428,p3,m3
cmPk,p3m3,even,ideal,5000,0.9,simple,0,0,100,0,415,p3,m3
cmPk,p3m3,even,ideal,5000,0.405,simple,0,0,100,0,432,p3,m3
cmPk,p3m3,uneven,ideal,200,1.5,simple,0,23,77,0,197,p3,m3
cmPk,p3m3,uneven,ideal,200,0.9,simple,0,10,90,0,199,p3,m3
cmPk,p3m3,uneven,ideal,200,0.405,simple,0,8,92,0,183,p3,m3
