file,sim_model,N,k,k_split,de,separation,entropy,p,m
p4m1_c3.out,  p4m1,1000,3,even,1.5,realistic ,0.721,  p4,  m1
p4m1_c4.out,  p4m1,1000,4,even,1.5,realistic ,0.698,  p4,  m1
p4m1_c5.out,  p4m1,1000,5,even,1.5,realistic ,0.763,  p4,  m1
p4m1_c2.out,  p4m1,200,2,even,0.405,realistic ,0.899,  p4,  m1
p4m1_c3.out,  p4m1,200,3,even,0.405,realistic ,0.934,  p4,  m1
p4m1_c4.out,  p4m1,200,4,even,0.405,realistic ,0.866,  p4,  m1
p4m1_c5.out,  p4m1,200,5,even,0.405,realistic ,0.843,  p4,  m1
p4m1_c2.out,  p4m1,200,2,even,0.9,realistic ,0.902,  p4,  m1
p4m1_c3.out,  p4m1,200,3,even,0.9,realistic ,0.796,  p4,  m1
p4m1_c4.out,  p4m1,200,4,even,0.9,realistic ,0.842,  p4,  m1
p4m1_c5.out,  p4m1,200,5,even,0.9,realistic ,0.883,  p4,  m1
p4m1_c2.out,  p4m1,200,2,even,1.5,realistic ,0.827,  p4,  m1
p4m1_c3.out,  p4m1,200,3,even,1.5,realistic ,0.759,  p4,  m1
p4m1_c4.out,  p4m1,200,4,even,1.5,realistic ,0.821,  p4,  m1
